"Part,Qty,Total,Link"
"sherpa mini,1,34,https://pl.aliexpress.com/item/1005002487727392.html"
"vslot rail,2,16,https://pl.aliexpress.com/i/1005003311298946.html?gatewayAdapt=glo2pol"
"nema17+screw,1,50,https://www.aliexpress.us/item/1005005575285492.html?mp=1&gatewayAdapt=glo2usa"
"nema17,3,44,https://www.aliexpress.us/item/1005007721263858.html?algo_exp_id=2c44caf6-5f1d-4c0f-b662-e554663c4572-0&pdp_ext_f=%7B%22order%22%3A%2224%22%2C%22eval%22%3A%221%22%7D&pdp"
"skr3+drivers,1,77,https://www.aliexpress.com/item/1005007540045155.html?algo_exp_id=db2c2344-aa37-43bd-b1af-e7c3de7a9108-0&pdp_ext_f=%7B%22order%22%3A%22145%22%2C%22eval%22%3A%221%2"
"lrs-350-24,1,35,https://www.aliexpress.com/item/1005006104414563.html?algo_exp_id=ed786665-9417-44ed-91e2-d2bbe9810003-0&pdp_ext_f=%7B%22order%22%3A%22145%22%2C%22eval%22%3A%221%22%"
"pillow-bearing,2,12,https://pl.aliexpress.com/item/1005008115694493.html?aem_p4p_detail=202507081114222547105643252920009348574&algo_exp_id=7769a70f-dea9-412a-9511-ebeb2c50ad36-0&pd"
"pulley,2,3,https://www.aliexpress.us/item/1005004314084512.html?pdp_npi=4%40dis!USD!US%20%241.33!US%20%241.13!!!1.33!1.13!%402101585f17218179467507717e6f09!12000034179345936!sh!HK!3"
"pulley no-teeth,4,12,https://www.aliexpress.us/item/1005004314084512.html?pdp_npi=4%40dis!USD!US%20%241.33!US%20%241.13!!!1.33!1.13!%402101585f17218179467507717e6f09!120000341793459"
"back-pulley-xaxis,1,2,https://www.aliexpress.us/item/32817328238.html?algo_exp_id=2e5559f6-0e2b-4699-af66-2900a6241a77-0&pdp_npi=4%40dis!USD!0.83!0.80!!!0.83!0.80!%402141069c1721810"
"big-xaxis-pulley,1,5,https://www.fallshaw.com.au/products/SPBRGQ6004X20"
"bearing-uni,4,5,https://modelemax.pl/en/bearings/19394-ball-bearing-8-24-8mm-628zz"
"gantry_vslot,2,18,https://pl.aliexpress.com/item/4000252044823.html?gatewayAdapt=glo2pol"
"4010 fan,1,4,https://pl.aliexpress.com/item/1005003462239029.html?aem_p4p_detail=202507211504023798993448239120006157034&algo_exp_id=70593ec9-93e4-496f-9f99-32fa072602fd-1&pdp_ext_f"
"sliding rod,1,23,https://pl.aliexpress.com/item/1005006293171727.html?aem_p4p_detail=202507311723285856898193446300001240080&algo_exp_id=ada9f015-4615-4818-b9c0-808a02b69883-0&pdp_e"
"lm8uu bearing,2,3,https://pl.aliexpress.com/item/1005007070280422.html?algo_exp_id=2b87c25e-3c10-4f6d-b47d-1b26296c8bf4-2&pdp_ext_f=%7B%22order%22%3A%22348%22%2C%22eval%22%3A%221%22"
"m4 screws+nuts,36,8,local_shop"
"m3 screws+nuts,25,8,local_shop"
"m2 wcrews+nutss,4,1,local_shop"
"m2.5 screw,2,1,local_shop"
"m5 screws+nuts,35,4,local_shop"
"m8 screws+nuts,5,4,local_shop"
"B57560G1104F000 thermistor,2,8,https://eu.mouser.com/ProductDetail/EPCOS-TDK/B57560G1104F000?qs=%2FsLciWRBLmAyaJsNOAuWiw%3D%3D"
"leds4printbed,75,15,https://www.piekarz.pl/37911-dioda-led-worldsemi-ws2812b-v4/"
"gt2 belt,1,8,https://www.aliexpress.us/item/10000115962505.html?algo_exp_id=3e07768a-d464-400f-8013-e23772bbed3e-1&pdp_ext_f=%7B%22order%22%3A%2231%22%2C%22eval%22%3A%221%22%7D&pdp_"
"nutblock,2,6,https://pl.aliexpress.com/item/1005004033091930.html?aem_p4p_detail=2025072115104714766776210775120006156124&algo_exp_id=6acb0970-a436-473f-83ce-022215f6bc8f-5&pdp_ext_"
"xc1 hotend,1,2,https://pl.aliexpress.com/item/1005007319888761.html"
"jumper cables (m2m & f2f & m2f),40 each,8,https://botland.com.pl/przewody-polaczeniowe-zensko-meskie/19621-zestaw-przewodow-polaczeniowych-justpi-zensko-meskie-20cm-40szt-590335"
"endstop switches,3,4,https://pl.aliexpress.com/item/1005008640444653.html?aem_p4p_detail=202507301707192219225324436200002745373&algo_exp_id=9b59729d-3d9c-4253-85cd-cfaa75983ca0-1&"
"pcb,1,50,https://jlcpcb.com/"
